Name,DOB,Gender,Type,HealthConcerns,Phase
Robert,2020-02-28,male,dog,True,adopting
Claudia,2002-04-01,male,cat,False,adopting
Erica,2005-01-19,male,dog,True,fostering
Jeffrey,2000-05-11,female,cat,True,adopting
Christopher,1992-08-29,male,cat,False,fostering
Courtney,2010-07-13,male,cat,True,adopting
Danielle,2012-10-13,female,dog,True,fostering
Madeline,2007-06-01,male,dog,True,adopting
Kenneth,2000-03-30,male,cat,False,fostering
Laura,2014-04-13,male,cat,True,fostering
Ebony,2005-08-05,male,cat,True,fostering
Teresa,2009-08-26,male,cat,True,adopting
Stephanie,1992-10-28,female,cat,True,adopting
Kaitlin,2008-09-07,male,cat,True,fostering
Benjamin,2008-11-19,female,cat,False,fostering
David,2014-03-05,male,dog,True,adopting
Savannah,1993-02-07,female,dog,False,fostering
Elizabeth,1991-08-25,male,cat,True,fostering
Michelle,2006-03-11,male,dog,True,adopting
Elizabeth,2011-11-05,male,cat,False,adopting
Patrick,2004-09-16,male,cat,False,fostering
Brandon,2010-05-29,male,cat,True,adopting
Sarah,2005-11-01,male,cat,True,fostering
Erika,2012-08-10,female,dog,False,fostering
Nicholas,2007-12-24,male,dog,True,adopting
Sara,2008-03-04,female,cat,False,adopting
Amy,2006-07-12,male,dog,False,adopting
Jose,2016-02-19,male,cat,False,fostering
Judith,2005-12-16,female,dog,True,fostering
Joshua,2007-09-14,female,cat,True,adopting
Julian,1995-01-26,female,dog,True,fostering
Kimberly,2010-05-07,male,cat,False,fostering
Charles,1998-12-23,male,cat,False,fostering
Alejandra,1995-05-14,female,cat,True,fostering
Bruce,1991-05-07,female,cat,False,adopting
David,2013-03-07,female,cat,True,fostering
Amanda,2018-04-26,female,dog,True,adopting
Steven,2019-08-05,male,dog,False,fostering
Sandra,2004-11-13,female,dog,True,fostering
Greg,2012-03-17,male,cat,False,adopting
Manuel,2010-08-30,male,cat,True,adopting
Grant,1998-10-18,male,dog,True,adopting
Meghan,2019-05-30,female,dog,True,adopting
Philip,1992-01-14,male,dog,True,fostering
Theresa,1995-09-26,male,dog,False,fostering
Kyle,2010-08-16,male,cat,False,fostering
Jeanette,1992-07-21,female,dog,True,adopting
Melissa,2020-08-11,female,dog,True,fostering
Elizabeth,2003-08-31,male,dog,False,fostering
Stacy,2018-08-30,male,cat,False,fostering
Michele,1998-10-20,male,cat,True,fostering
Penny,2001-05-25,female,cat,False,fostering
Joel,1996-05-21,female,dog,False,fostering
Carl,2008-12-11,male,cat,True,fostering
